Samples	SBS1	SBS2	SBS5	SBS7b	SBS8	SBS13	SBS17a	SBS17b	SBS18	SBS25
NSLC_0001	531	236	3695	0	1759	349	0	0	0	0
NSLC_0002	586	300	4015	0	1144	225	0	0	0	0
NSLC_0003	1636	596	2370	0	0	473	0	0	0	0
NSLC_0004	299	915	3270	0	1341	1006	0	0	0	0
NSLC_0005	868	7236	4194	0	0	6927	0	0	0	0
NSLC_0007	200	111	1789	0	557	90	0	0	0	0
NSLC_0008	477	630	3480	0	0	174	0	0	668	0
NSLC_0009	379	386	2431	0	0	201	0	0	529	0
NSLC_0010	12	33	505	0	0	23	0	0	82	0
NSLC_0011	556	1114	4237	0	0	1281	0	0	1762	0
NSLC_0012	471	419	3794	0	1691	312	0	0	0	0
NSLC_0013	440	294	3062	0	0	153	0	0	537	0
NSLC_0015	153	264	2989	0	760	276	0	0	0	0
NSLC_0017	459	343	3990	0	1424	737	0	0	0	0
NSLC_0018	876	610	5148	0	2020	1058	0	0	1473	0
NSLC_0019	1	0	468	0	0	0	0	0	0	0
NSLC_0020	3867	20480	6875	0	0	21671	0	0	0	0
NSLC_0021	328	231	2312	0	610	168	0	0	0	0
NSLC_0024	158	539	2239	0	0	144	0	0	0	0
NSLC_0026	289	376	2615	0	0	357	0	0	711	0
NSLC_0027	544	124	1617	0	595	0	0	0	0	0
NSLC_0028	318	0	2793	0	0	0	0	0	0	0
NSLC_0029	686	0	3847	0	0	0	0	0	1013	0
NSLC_0030	114	322	1420	0	0	417	0	0	0	0
NSLC_0031	489	0	1717	0	529	0	0	0	0	0
NSLC_0032	94	0	3228	0	0	0	273	964	0	3371
NSLC_0033	294	0	3651	0	0	0	0	0	1295	0
NSLC_0036	248	167	2077	0	1024	249	0	0	0	0
NSLC_0037	456	516	2934	0	0	451	0	0	0	0
NSLC_0041	872	317	3769	0	0	336	0	0	0	0
NSLC_0042	47	0	1014	0	0	0	0	0	0	0
NSLC_0043	844	398	3928	0	0	478	0	0	1963	0
NSLC_0044	210	334	1994	0	0	159	0	0	0	0
NSLC_0045	411	143	1804	0	570	144	0	0	0	0
NSLC_0046	136	0	1675	0	324	0	0	0	0	0
NSLC_0047	173	102	1289	0	364	52	0	0	0	0
NSLC_0048	411	0	3598	0	0	0	0	0	0	0
NSLC_0049	221	371	2215	0	668	332	0	0	0	0
NSLC_0050	41	0	779	0	0	0	0	0	0	0
NSLC_0053	158	0	2408	0	549	0	0	0	0	0
NSLC_0054	522	459	3961	0	1624	603	0	0	0	0
NSLC_0055	0	0	6244	0	13784	0	0	0	0	0
NSLC_0057	258	751	4094	0	1605	548	392	1112	0	0
NSLC_0058	129	891	2304	0	0	837	0	0	0	0
NSLC_0059	37	0	612	0	0	0	0	0	0	0
NSLC_0061	301	627	3862	0	0	506	0	0	1876	0
NSLC_0062	287	318	2874	0	771	154	0	0	0	0
NSLC_0063	70	0	1020	0	276	0	0	0	0	0
NSLC_0064	113	228	2965	0	947	189	0	0	0	0
NSLC_0065	354	12832	4264	0	0	11099	0	0	0	0
NSLC_0066	247	140	1875	0	487	93	0	0	0	0
NSLC_0067	280	252	2907	0	0	135	0	0	878	0
NSLC_0068	37	0	796	0	0	0	0	0	0	0
NSLC_0069	436	0	1742	0	469	0	0	0	0	0
NSLC_0071	242	225	2852	0	0	422	0	0	986	0
NSLC_0073	192	0	2610	0	0	0	0	0	0	0
NSLC_0074	210	273	2555	0	0	125	0	0	568	0
NSLC_0076	118	264	2365	0	0	211	0	0	0	0
NSLC_0078	373	408	3190	0	0	239	0	0	0	0
NSLC_0079	404	1288	7115	0	0	1498	0	0	1949	0
NSLC_0080	559	630	4030	0	0	478	0	0	1721	0
NSLC_0081	520	0	3293	0	0	0	0	0	927	0
NSLC_0082	31	0	514	0	0	0	0	0	0	0
NSLC_0084	16	26	411	0	0	21	0	0	0	0
NSLC_0085	385	402	2340	0	747	384	0	0	0	0
NSLC_0086	164	327	2008	0	701	262	0	0	0	0
NSLC_0087	320	189	2909	0	700	200	0	0	0	0
NSLC_0088	354	0	3656	0	910	0	0	0	0	0
NSLC_0129	127	281	1263	0	0	365	0	0	0	0
NSLC_0130	737	765	4783	0	1444	774	0	0	0	0
NSLC_0131	345	288	3834	0	0	534	0	0	856	0
NSLC_0133	13	24	318	0	0	0	0	0	0	0
NSLC_0135	502	153	2510	0	671	0	0	0	0	0
NSLC_0136	474	2554	3410	0	2283	3414	0	0	0	0
NSLC_0138	60	131	1161	0	0	0	0	0	240	0
NSLC_0139	946	1202	3444	1025	0	462	0	0	0	0
NSLC_0140	208	319	3073	0	0	214	0	0	0	0
NSLC_0143	27	0	680	0	0	0	0	0	0	0
NSLC_0144	686	391	3418	0	1140	552	0	0	0	0
NSLC_0145	866	230	2824	0	0	0	0	0	802	0
NSLC_0146	388	397	3115	0	776	198	0	0	0	0
NSLC_0147	458	693	2912	0	0	402	0	0	3069	0
NSLC_0148	1194	537	4677	0	0	525	0	0	2609	0
NSLC_0151	204	779	2817	0	979	661	0	0	0	0
NSLC_0152	342	197	2916	0	661	248	0	0	0	0
NSLC_0154	214	0	1976	0	764	0	0	0	0	0
NSLC_0155	191	495	3458	0	0	306	0	0	0	0
NSLC_0156	371	238	2138	0	733	201	0	0	0	0
NSLC_0157	329	340	3437	0	0	459	0	0	1078	0
NSLC_0160	117	0	1226	0	374	0	0	0	0	0
NSLC_0161	67	290	1321	210	0	116	0	0	0	0
NSLC_0166	335	177	2412	0	802	228	0	0	0	0
