window_start,window_end,variant_density
1,10000000,1245
1001,10001000,1245
2001,10002000,1245
3001,10003000,1246
4001,10004000,1246
5001,10005000,1246
6001,10006000,1246
7001,10007000,1246
8001,10008000,1246
9001,10009000,1246
10001,10010000,1246
11001,10011000,1246
12001,10012000,1246
13001,10013000,1246
14001,10014000,1246
15001,10015000,1246
16001,10016000,1246
17001,10017000,1246
18001,10018000,1246
19001,10019000,1246
20001,10020000,1246
21001,10021000,1246
22001,10022000,1246
23001,10023000,1246
24001,10024000,1246
25001,10025000,1246
26001,10026000,1246
27001,10027000,1246
28001,10028000,1246
29001,10029000,1246
30001,10030000,1246
31001,10031000,1246
32001,10032000,1246
33001,10033000,1246
34001,10034000,1246
35001,10035000,1246
36001,10036000,1246
37001,10037000,1246
38001,10038000,1246
39001,10039000,1246
40001,10040000,1246
41001,10041000,1246
42001,10042000,1246
43001,10043000,1247
44001,10044000,1247
45001,10045000,1247
46001,10046000,1248
47001,10047000,1248
48001,10048000,1248
49001,10049000,1248
50001,10050000,1248
51001,10051000,1248
52001,10052000,1248
53001,10053000,1249
54001,10054000,1249
55001,10055000,1249
56001,10056000,1249
57001,10057000,1249
58001,10058000,1249
59001,10059000,1249
60001,10060000,1249
61001,10061000,1249
62001,10062000,1248
63001,10063000,1248
64001,10064000,1248
65001,10065000,1248
66001,10066000,1248
67001,10067000,1247
68001,10068000,1247
69001,10069000,1247
70001,10070000,1246
71001,10071000,1246
72001,10072000,1246
73001,10073000,1246
74001,10074000,1246
75001,10075000,1247
76001,10076000,1247
77001,10077000,1247
78001,10078000,1247
79001,10079000,1247
80001,10080000,1247
81001,10081000,1248
82001,10082000,1247
83001,10083000,1247
84001,10084000,1247
85001,10085000,1248
86001,10086000,1248
87001,10087000,1248
88001,10088000,1248
89001,10089000,1248
90001,10090000,1248
91001,10091000,1246
92001,10092000,1246
93001,10093000,1246
94001,10094000,1245
95001,10095000,1245
96001,10096000,1245
97001,10097000,1245
98001,10098000,1245
99001,10099000,1245
100001,10100000,1245
101001,10101000,1246
102001,10102000,1246
103001,10103000,1246
104001,10104000,1246
105001,10105000,1246
106001,10106000,1246
107001,10107000,1246
108001,10108000,1246
109001,10109000,1247
110001,10110000,1247
111001,10111000,1247
112001,10112000,1247
113001,10113000,1247
114001,10114000,1247
115001,10115000,1247
116001,10116000,1247
117001,10117000,1247
118001,10118000,1247
