window_start,window_end,variant_density
1,500000,75
1001,501000,75
2001,502000,75
3001,503000,75
4001,504000,75
5001,505000,75
6001,506000,76
7001,507000,76
8001,508000,76
9001,509000,76
10001,510000,76
11001,511000,76
12001,512000,76
13001,513000,76
14001,514000,76
15001,515000,76
16001,516000,76
17001,517000,76
18001,518000,77
19001,519000,77
20001,520000,77
21001,521000,77
22001,522000,77
23001,523000,77
24001,524000,76
25001,525000,76
26001,526000,76
27001,527000,76
28001,528000,76
29001,529000,76
30001,530000,76
31001,531000,76
32001,532000,76
33001,533000,75
34001,534000,75
35001,535000,75
36001,536000,75
37001,537000,75
38001,538000,75
39001,539000,75
40001,540000,75
41001,541000,75
42001,542000,75
43001,543000,75
44001,544000,75
45001,545000,75
46001,546000,75
47001,547000,76
48001,548000,76
49001,549000,76
50001,550000,76
51001,551000,76
52001,552000,76
53001,553000,76
54001,554000,76
55001,555000,76
56001,556000,76
57001,557000,76
58001,558000,76
59001,559000,76
60001,560000,76
61001,561000,76
62001,562000,76
63001,563000,76
64001,564000,76
65001,565000,76
66001,566000,76
67001,567000,76
68001,568000,76
69001,569000,76
70001,570000,76
71001,571000,76
72001,572000,76
73001,573000,76
74001,574000,76
75001,575000,76
76001,576000,76
77001,577000,76
78001,578000,76
79001,579000,75
80001,580000,75
81001,581000,75
82001,582000,75
83001,583000,75
84001,584000,75
85001,585000,75
86001,586000,75
87001,587000,75
88001,588000,75
89001,589000,75
90001,590000,75
91001,591000,75
92001,592000,75
93001,593000,75
94001,594000,75
95001,595000,75
96001,596000,75
97001,597000,75
98001,598000,75
99001,599000,75
100001,600000,75
101001,601000,75
102001,602000,75
103001,603000,75
104001,604000,75
105001,605000,75
106001,606000,75
107001,607000,75
108001,608000,75
109001,609000,75
110001,610000,75
111001,611000,75
112001,612000,75
113001,613000,75
114001,614000,75
115001,615000,75
116001,616000,75
117001,617000,75
118001,618000,75
119001,619000,75
120001,620000,75
121001,621000,75
122001,622000,75
123001,623000,75
124001,624000,75
125001,625000,75
126001,626000,75
127001,627000,75
128001,628000,75
129001,629000,75
130001,630000,75
131001,631000,75
132001,632000,75
133001,633000,75
134001,634000,75
135001,635000,75
136001,636000,75
137001,637000,75
138001,638000,76
139001,639000,76
140001,640000,76
141001,641000,76
142001,642000,76
143001,643000,76
144001,644000,76
145001,645000,76
146001,646000,76
147001,647000,76
148001,648000,77
149001,649000,77
150001,650000,77
151001,651000,77
152001,652000,77
153001,653000,77
154001,654000,77
155001,655000,77
156001,656000,77
157001,657000,77
158001,658000,76
159001,659000,76
160001,660000,76
161001,661000,68
162001,662000,68
163001,663000,68
164001,664000,68
165001,665000,68
166001,666000,67
167001,667000,67
168001,668000,67
169001,669000,58
170001,670000,58
171001,671000,58
172001,672000,59
173001,673000,59
174001,674000,59
175001,675000,59
176001,676000,59
177001,677000,59
178001,678000,59
179001,679000,59
180001,680000,59
181001,681000,59
182001,682000,59
183001,683000,58
184001,684000,57
185001,685000,56
186001,686000,56
187001,687000,55
188001,688000,55
189001,689000,57
190001,690000,57
191001,691000,57
192001,692000,57
193001,693000,57
194001,694000,57
195001,695000,56
196001,696000,56
197001,697000,56
198001,698000,56
199001,699000,56
200001,700000,55
201001,701000,55
202001,702000,55
203001,703000,53
204001,704000,53
205001,705000,53
206001,706000,53
207001,707000,53
208001,708000,53
209001,709000,53
210001,710000,53
211001,711000,53
212001,712000,53
213001,713000,53
214001,714000,53
215001,715000,54
216001,716000,55
217001,717000,56
218001,718000,56
219001,719000,56
220001,720000,56
221001,721000,56
222001,722000,56
223001,723000,56
224001,724000,57
225001,725000,58
226001,726000,58
227001,727000,58
228001,728000,57
229001,729000,58
230001,730000,58
231001,731000,57
232001,732000,57
233001,733000,57
234001,734000,58
235001,735000,58
236001,736000,58
237001,737000,58
238001,738000,58
239001,739000,58
240001,740000,58
241001,741000,58
242001,742000,58
243001,743000,59
244001,744000,59
245001,745000,59
246001,746000,59
247001,747000,59
248001,748000,59
249001,749000,59
250001,750000,59
251001,751000,59
252001,752000,59
253001,753000,59
254001,754000,59
255001,755000,59
256001,756000,59
257001,757000,58
258001,758000,57
259001,759000,57
260001,760000,57
261001,761000,58
262001,762000,58
263001,763000,58
264001,764000,58
265001,765000,58
266001,766000,58
267001,767000,58
268001,768000,58
269001,769000,58
270001,770000,58
271001,771000,58
272001,772000,58
273001,773000,58
274001,774000,58
275001,775000,58
276001,776000,58
277001,777000,58
278001,778000,58
279001,779000,58
280001,780000,58
281001,781000,58
282001,782000,58
283001,783000,58
284001,784000,56
285001,785000,56
286001,786000,57
287001,787000,57
288001,788000,57
289001,789000,57
290001,790000,57
291001,791000,57
292001,792000,57
293001,793000,57
294001,794000,57
295001,795000,57
296001,796000,58
297001,797000,59
298001,798000,58
299001,799000,57
300001,800000,57
301001,801000,57
302001,802000,58
303001,803000,58
304001,804000,57
305001,805000,57
306001,806000,57
307001,807000,57
308001,808000,57
309001,809000,56
310001,810000,56
311001,811000,59
312001,812000,59
313001,813000,59
314001,814000,59
315001,815000,59
316001,816000,59
317001,817000,59
318001,818000,59
319001,819000,59
320001,820000,59
321001,821000,59
322001,822000,58
323001,823000,58
324001,824000,58
325001,825000,58
326001,826000,58
327001,827000,55
328001,828000,51
329001,829000,51
330001,830000,51
331001,831000,50
332001,832000,50
333001,833000,50
334001,834000,47
335001,835000,47
336001,836000,47
337001,837000,47
338001,838000,47
339001,839000,48
340001,840000,48
341001,841000,48
342001,842000,49
343001,843000,49
344001,844000,50
345001,845000,50
346001,846000,50
347001,847000,50
348001,848000,50
349001,849000,51
350001,850000,52
351001,851000,52
352001,852000,52
353001,853000,52
354001,854000,52
355001,855000,52
356001,856000,52
357001,857000,52
358001,858000,52
359001,859000,52
360001,860000,52
361001,861000,52
362001,862000,53
363001,863000,54
364001,864000,54
365001,865000,54
366001,866000,54
367001,867000,54
368001,868000,54
369001,869000,55
370001,870000,55
371001,871000,55
372001,872000,55
373001,873000,54
374001,874000,54
375001,875000,54
376001,876000,55
377001,877000,55
378001,878000,55
379001,879000,55
380001,880000,55
381001,881000,55
382001,882000,55
383001,883000,55
384001,884000,55
385001,885000,55
386001,886000,54
387001,887000,54
388001,888000,54
389001,889000,54
390001,890000,54
391001,891000,52
392001,892000,51
393001,893000,52
394001,894000,52
395001,895000,52
396001,896000,52
397001,897000,52
398001,898000,52
399001,899000,52
400001,900000,52
401001,901000,52
402001,902000,52
403001,903000,52
404001,904000,53
405001,905000,53
406001,906000,53
407001,907000,53
408001,908000,53
409001,909000,53
410001,910000,53
411001,911000,53
412001,912000,53
413001,913000,53
414001,914000,53
415001,915000,53
416001,916000,53
417001,917000,53
418001,918000,54
419001,919000,54
420001,920000,54
421001,921000,54
422001,922000,54
423001,923000,53
424001,924000,54
425001,925000,54
426001,926000,55
427001,927000,56
428001,928000,56
429001,929000,56
430001,930000,56
431001,931000,56
432001,932000,57
433001,933000,57
434001,934000,56
435001,935000,56
436001,936000,56
437001,937000,55
438001,938000,55
439001,939000,55
440001,940000,55
441001,941000,55
442001,942000,55
443001,943000,55
444001,944000,54
445001,945000,54
446001,946000,54
447001,947000,54
448001,948000,54
449001,949000,54
450001,950000,54
451001,951000,54
452001,952000,54
453001,953000,54
454001,954000,54
455001,955000,54
456001,956000,53
457001,957000,54
458001,958000,54
459001,959000,54
460001,960000,54
461001,961000,54
462001,962000,54
463001,963000,54
464001,964000,54
465001,965000,54
466001,966000,54
