window_start,window_end,variant_density
1,10000000,382
1001,10001000,382
2001,10002000,383
3001,10003000,383
4001,10004000,383
5001,10005000,383
6001,10006000,386
7001,10007000,388
8001,10008000,393
9001,10009000,394
10001,10010000,394
11001,10011000,394
12001,10012000,396
13001,10013000,406
14001,10014000,408
15001,10015000,408
16001,10016000,408
17001,10017000,411
18001,10018000,411
19001,10019000,413
20001,10020000,413
21001,10021000,415
22001,10022000,418
23001,10023000,421
24001,10024000,421
25001,10025000,422
26001,10026000,423
27001,10027000,423
28001,10028000,424
29001,10029000,424
30001,10030000,429
31001,10031000,429
32001,10032000,437
33001,10033000,442
34001,10034000,443
35001,10035000,444
36001,10036000,447
37001,10037000,447
38001,10038000,450
39001,10039000,450
40001,10040000,456
41001,10041000,459
42001,10042000,459
43001,10043000,459
44001,10044000,459
45001,10045000,459
46001,10046000,460
47001,10047000,460
48001,10048000,460
49001,10049000,461
50001,10050000,462
51001,10051000,462
52001,10052000,462
53001,10053000,462
54001,10054000,462
55001,10055000,462
56001,10056000,462
57001,10057000,462
58001,10058000,467
59001,10059000,467
60001,10060000,467
61001,10061000,467
62001,10062000,469
63001,10063000,469
64001,10064000,469
65001,10065000,469
66001,10066000,469
67001,10067000,469
68001,10068000,469
69001,10069000,469
70001,10070000,469
71001,10071000,469
72001,10072000,470
73001,10073000,470
74001,10074000,470
75001,10075000,470
76001,10076000,470
77001,10077000,471
78001,10078000,471
79001,10079000,471
80001,10080000,471
81001,10081000,471
82001,10082000,471
83001,10083000,471
84001,10084000,471
85001,10085000,471
86001,10086000,471
87001,10087000,471
88001,10088000,471
89001,10089000,471
90001,10090000,471
91001,10091000,471
92001,10092000,471
93001,10093000,471
94001,10094000,472
95001,10095000,472
96001,10096000,472
97001,10097000,472
98001,10098000,472
99001,10099000,472
100001,10100000,472
101001,10101000,472
102001,10102000,472
103001,10103000,472
104001,10104000,472
105001,10105000,472
106001,10106000,472
107001,10107000,472
108001,10108000,472
109001,10109000,472
110001,10110000,472
111001,10111000,472
112001,10112000,472
113001,10113000,472
114001,10114000,472
115001,10115000,472
116001,10116000,472
117001,10117000,472
118001,10118000,472
119001,10119000,472
120001,10120000,472
121001,10121000,472
122001,10122000,472
123001,10123000,472
124001,10124000,472
125001,10125000,472
126001,10126000,472
127001,10127000,472
128001,10128000,472
129001,10129000,472
130001,10130000,472
131001,10131000,472
132001,10132000,472
133001,10133000,472
134001,10134000,472
135001,10135000,472
136001,10136000,472
137001,10137000,472
138001,10138000,472
139001,10139000,472
140001,10140000,472
141001,10141000,472
142001,10142000,472
143001,10143000,472
144001,10144000,472
145001,10145000,472
146001,10146000,472
147001,10147000,472
148001,10148000,472
149001,10149000,472
150001,10150000,472
151001,10151000,472
152001,10152000,472
153001,10153000,472
154001,10154000,472
155001,10155000,472
156001,10156000,472
157001,10157000,472
158001,10158000,472
159001,10159000,472
160001,10160000,472
161001,10161000,472
162001,10162000,472
163001,10163000,472
164001,10164000,472
165001,10165000,472
166001,10166000,472
167001,10167000,472
168001,10168000,472
169001,10169000,472
170001,10170000,472
171001,10171000,472
172001,10172000,472
173001,10173000,472
174001,10174000,472
175001,10175000,472
176001,10176000,472
177001,10177000,472
178001,10178000,472
179001,10179000,472
180001,10180000,472
181001,10181000,472
182001,10182000,472
183001,10183000,472
184001,10184000,472
185001,10185000,472
186001,10186000,472
187001,10187000,472
188001,10188000,472
189001,10189000,472
190001,10190000,472
191001,10191000,472
192001,10192000,472
193001,10193000,472
194001,10194000,472
195001,10195000,472
196001,10196000,472
197001,10197000,472
198001,10198000,472
199001,10199000,472
200001,10200000,472
201001,10201000,472
202001,10202000,472
203001,10203000,472
204001,10204000,472
205001,10205000,472
206001,10206000,472
207001,10207000,472
208001,10208000,472
209001,10209000,472
210001,10210000,472
211001,10211000,472
212001,10212000,472
213001,10213000,472
214001,10214000,472
215001,10215000,472
216001,10216000,472
217001,10217000,472
218001,10218000,472
219001,10219000,472
220001,10220000,472
221001,10221000,472
222001,10222000,472
223001,10223000,472
224001,10224000,472
225001,10225000,472
226001,10226000,472
227001,10227000,472
228001,10228000,472
229001,10229000,472
230001,10230000,472
231001,10231000,472
232001,10232000,472
233001,10233000,472
234001,10234000,472
235001,10235000,472
236001,10236000,472
237001,10237000,472
238001,10238000,472
239001,10239000,472
240001,10240000,472
241001,10241000,472
242001,10242000,472
243001,10243000,472
244001,10244000,472
245001,10245000,472
246001,10246000,472
247001,10247000,472
248001,10248000,472
249001,10249000,472
250001,10250000,472
251001,10251000,472
252001,10252000,472
253001,10253000,472
254001,10254000,472
255001,10255000,472
256001,10256000,472
257001,10257000,472
258001,10258000,472
259001,10259000,472
260001,10260000,472
261001,10261000,472
262001,10262000,472
263001,10263000,472
264001,10264000,472
265001,10265000,472
266001,10266000,472
267001,10267000,472
268001,10268000,472
269001,10269000,472
270001,10270000,472
271001,10271000,472
272001,10272000,472
273001,10273000,472
274001,10274000,472
275001,10275000,472
