window_start,window_end,variant_density
1,50000,0
1001,51000,0
2001,52000,0
3001,53000,0
4001,54000,0
5001,55000,0
6001,56000,0
7001,57000,0
8001,58000,0
9001,59000,0
10001,60000,0
11001,61000,0
12001,62000,1
13001,63000,1
14001,64000,1
15001,65000,1
16001,66000,1
17001,67000,2
18001,68000,2
19001,69000,2
20001,70000,3
21001,71000,3
22001,72000,3
23001,73000,3
24001,74000,3
25001,75000,3
26001,76000,3
27001,77000,3
28001,78000,3
29001,79000,3
30001,80000,3
31001,81000,3
32001,82000,4
33001,83000,4
34001,84000,4
35001,85000,4
36001,86000,4
37001,87000,4
38001,88000,4
39001,89000,4
40001,90000,4
41001,91000,6
42001,92000,6
43001,93000,6
44001,94000,7
45001,95000,7
46001,96000,7
47001,97000,7
48001,98000,7
49001,99000,7
50001,100000,7
51001,101000,7
52001,102000,7
53001,103000,7
54001,104000,7
55001,105000,7
56001,106000,7
57001,107000,7
58001,108000,7
59001,109000,7
60001,110000,7
61001,111000,7
62001,112000,6
63001,113000,6
64001,114000,6
65001,115000,6
66001,116000,6
67001,117000,5
68001,118000,5
69001,119000,5
70001,120000,4
71001,121000,5
72001,122000,5
73001,123000,5
74001,124000,5
75001,125000,5
76001,126000,5
77001,127000,6
78001,128000,6
79001,129000,6
80001,130000,6
81001,131000,6
82001,132000,5
83001,133000,5
84001,134000,6
85001,135000,6
86001,136000,6
87001,137000,6
88001,138000,6
89001,139000,6
90001,140000,6
91001,141000,4
92001,142000,4
93001,143000,4
94001,144000,3
95001,145000,3
96001,146000,3
97001,147000,3
98001,148000,3
99001,149000,4
100001,150000,5
101001,151000,5
102001,152000,5
103001,153000,5
104001,154000,5
105001,155000,5
106001,156000,5
107001,157000,9
108001,158000,9
109001,159000,9
110001,160000,9
111001,161000,9
112001,162000,9
113001,163000,9
114001,164000,9
115001,165000,9
116001,166000,9
117001,167000,9
118001,168000,9
119001,169000,9
120001,170000,9
121001,171000,8
122001,172000,8
123001,173000,9
124001,174000,9
125001,175000,9
126001,176000,9
127001,177000,8
128001,178000,8
129001,179000,9
130001,180000,9
131001,181000,9
132001,182000,9
