window_start,window_end,variant_density
1,10000000,1871
1001,10001000,1871
2001,10002000,1871
3001,10003000,1871
4001,10004000,1871
5001,10005000,1871
6001,10006000,1871
7001,10007000,1871
8001,10008000,1871
9001,10009000,1871
10001,10010000,1872
11001,10011000,1872
12001,10012000,1872
13001,10013000,1872
14001,10014000,1872
15001,10015000,1872
16001,10016000,1872
17001,10017000,1872
18001,10018000,1872
19001,10019000,1873
20001,10020000,1873
21001,10021000,1873
22001,10022000,1873
23001,10023000,1874
24001,10024000,1874
25001,10025000,1874
26001,10026000,1874
27001,10027000,1874
28001,10028000,1874
29001,10029000,1874
30001,10030000,1874
31001,10031000,1876
32001,10032000,1876
33001,10033000,1876
34001,10034000,1877
35001,10035000,1877
36001,10036000,1877
37001,10037000,1877
38001,10038000,1877
39001,10039000,1878
40001,10040000,1878
41001,10041000,1878
42001,10042000,1878
43001,10043000,1878
44001,10044000,1878
45001,10045000,1878
46001,10046000,1878
47001,10047000,1878
48001,10048000,1878
49001,10049000,1878
50001,10050000,1880
51001,10051000,1880
52001,10052000,1882
53001,10053000,1882
54001,10054000,1882
55001,10055000,1882
56001,10056000,1882
57001,10057000,1882
58001,10058000,1882
59001,10059000,1882
60001,10060000,1882
61001,10061000,1881
62001,10062000,1879
63001,10063000,1879
64001,10064000,1879
65001,10065000,1879
66001,10066000,1877
67001,10067000,1877
68001,10068000,1878
69001,10069000,1878
70001,10070000,1878
71001,10071000,1878
72001,10072000,1878
73001,10073000,1878
74001,10074000,1877
75001,10075000,1877
76001,10076000,1877
77001,10077000,1877
78001,10078000,1877
79001,10079000,1877
80001,10080000,1878
81001,10081000,1878
82001,10082000,1878
83001,10083000,1878
84001,10084000,1878
85001,10085000,1878
86001,10086000,1878
87001,10087000,1877
88001,10088000,1879
89001,10089000,1879
90001,10090000,1879
91001,10091000,1879
92001,10092000,1879
93001,10093000,1879
94001,10094000,1879
95001,10095000,1879
96001,10096000,1880
97001,10097000,1880
98001,10098000,1880
99001,10099000,1880
100001,10100000,1880
101001,10101000,1880
102001,10102000,1880
103001,10103000,1881
104001,10104000,1881
105001,10105000,1881
106001,10106000,1883
107001,10107000,1883
108001,10108000,1883
109001,10109000,1884
110001,10110000,1884
111001,10111000,1884
112001,10112000,1884
113001,10113000,1884
114001,10114000,1885
115001,10115000,1885
116001,10116000,1886
117001,10117000,1886
118001,10118000,1886
119001,10119000,1886
120001,10120000,1886
121001,10121000,1886
122001,10122000,1886
123001,10123000,1888
124001,10124000,1888
125001,10125000,1888
126001,10126000,1888
127001,10127000,1888
128001,10128000,1888
129001,10129000,1888
130001,10130000,1888
131001,10131000,1888
132001,10132000,1888
133001,10133000,1888
134001,10134000,1888
135001,10135000,1889
136001,10136000,1889
137001,10137000,1890
138001,10138000,1890
