window_start,window_end,variant_density
1,1000000,198
1001,1001000,198
2001,1002000,198
3001,1003000,199
4001,1004000,199
5001,1005000,201
6001,1006000,201
7001,1007000,201
8001,1008000,201
9001,1009000,202
10001,1010000,202
11001,1011000,202
12001,1012000,202
13001,1013000,202
14001,1014000,203
15001,1015000,203
16001,1016000,203
17001,1017000,203
18001,1018000,203
19001,1019000,203
20001,1020000,204
21001,1021000,205
22001,1022000,205
23001,1023000,205
24001,1024000,205
25001,1025000,205
26001,1026000,205
27001,1027000,205
28001,1028000,205
29001,1029000,205
30001,1030000,205
31001,1031000,205
32001,1032000,205
33001,1033000,205
34001,1034000,206
35001,1035000,206
36001,1036000,207
37001,1037000,207
38001,1038000,207
39001,1039000,207
40001,1040000,207
41001,1041000,207
42001,1042000,207
43001,1043000,207
44001,1044000,208
45001,1045000,208
46001,1046000,208
47001,1047000,208
48001,1048000,208
49001,1049000,208
50001,1050000,208
51001,1051000,208
52001,1052000,208
53001,1053000,208
54001,1054000,208
55001,1055000,208
56001,1056000,208
57001,1057000,208
58001,1058000,208
59001,1059000,208
60001,1060000,208
61001,1061000,207
62001,1062000,205
63001,1063000,205
64001,1064000,205
65001,1065000,204
66001,1066000,202
67001,1067000,202
68001,1068000,202
69001,1069000,202
70001,1070000,202
71001,1071000,202
72001,1072000,202
73001,1073000,202
74001,1074000,201
75001,1075000,201
76001,1076000,201
77001,1077000,201
78001,1078000,201
79001,1079000,201
80001,1080000,201
81001,1081000,201
82001,1082000,201
83001,1083000,201
84001,1084000,201
85001,1085000,201
86001,1086000,201
87001,1087000,200
88001,1088000,200
89001,1089000,200
90001,1090000,200
91001,1091000,200
92001,1092000,200
93001,1093000,200
94001,1094000,200
95001,1095000,200
96001,1096000,200
97001,1097000,200
98001,1098000,200
99001,1099000,200
100001,1100000,200
101001,1101000,200
102001,1102000,200
103001,1103000,200
104001,1104000,200
105001,1105000,200
106001,1106000,200
107001,1107000,200
108001,1108000,200
109001,1109000,200
110001,1110000,200
111001,1111000,200
112001,1112000,200
113001,1113000,200
114001,1114000,200
115001,1115000,200
116001,1116000,200
117001,1117000,200
118001,1118000,201
119001,1119000,201
120001,1120000,201
121001,1121000,201
122001,1122000,201
123001,1123000,201
124001,1124000,201
125001,1125000,201
126001,1126000,201
127001,1127000,201
128001,1128000,201
129001,1129000,201
130001,1130000,201
131001,1131000,201
132001,1132000,201
133001,1133000,201
134001,1134000,201
135001,1135000,201
136001,1136000,201
137001,1137000,201
138001,1138000,201
139001,1139000,201
140001,1140000,201
141001,1141000,201
142001,1142000,201
143001,1143000,201
144001,1144000,201
145001,1145000,201
146001,1146000,201
147001,1147000,201
148001,1148000,201
149001,1149000,201
150001,1150000,201
151001,1151000,200
152001,1152000,200
153001,1153000,200
154001,1154000,200
155001,1155000,200
156001,1156000,199
157001,1157000,199
158001,1158000,195
159001,1159000,194
160001,1160000,193
161001,1161000,192
162001,1162000,192
163001,1163000,192
164001,1164000,190
165001,1165000,190
166001,1166000,190
167001,1167000,190
168001,1168000,190
169001,1169000,190
170001,1170000,190
171001,1171000,190
172001,1172000,190
173001,1173000,190
174001,1174000,190
175001,1175000,190
176001,1176000,189
177001,1177000,188
178001,1178000,188
179001,1179000,188
180001,1180000,188
181001,1181000,188
182001,1182000,188
183001,1183000,188
184001,1184000,188
185001,1185000,188
186001,1186000,188
187001,1187000,188
188001,1188000,188
189001,1189000,188
190001,1190000,188
191001,1191000,188
192001,1192000,188
193001,1193000,188
194001,1194000,188
195001,1195000,188
196001,1196000,188
197001,1197000,188
198001,1198000,188
199001,1199000,188
200001,1200000,188
201001,1201000,187
202001,1202000,187
203001,1203000,187
204001,1204000,187
205001,1205000,188
206001,1206000,188
207001,1207000,188
208001,1208000,188
209001,1209000,188
210001,1210000,188
211001,1211000,188
212001,1212000,189
213001,1213000,189
214001,1214000,189
215001,1215000,189
216001,1216000,189
217001,1217000,191
218001,1218000,190
219001,1219000,190
220001,1220000,190
221001,1221000,190
222001,1222000,190
223001,1223000,190
224001,1224000,189
225001,1225000,189
226001,1226000,189
227001,1227000,189
228001,1228000,189
229001,1229000,189
230001,1230000,190
231001,1231000,191
232001,1232000,192
233001,1233000,192
234001,1234000,192
235001,1235000,193
236001,1236000,193
