window_start,window_end,variant_density
1,1000000,0
1001,1001000,0
2001,1002000,0
3001,1003000,0
4001,1004000,0
5001,1005000,0
6001,1006000,0
7001,1007000,0
8001,1008000,0
9001,1009000,0
10001,1010000,0
11001,1011000,0
12001,1012000,0
13001,1013000,0
14001,1014000,0
15001,1015000,0
16001,1016000,0
17001,1017000,0
18001,1018000,0
19001,1019000,0
20001,1020000,0
21001,1021000,0
22001,1022000,0
23001,1023000,0
24001,1024000,0
25001,1025000,0
26001,1026000,0
27001,1027000,0
28001,1028000,0
29001,1029000,0
30001,1030000,0
31001,1031000,0
32001,1032000,0
33001,1033000,0
34001,1034000,0
35001,1035000,0
36001,1036000,0
37001,1037000,0
38001,1038000,0
39001,1039000,0
40001,1040000,0
41001,1041000,0
42001,1042000,0
43001,1043000,0
44001,1044000,0
45001,1045000,0
46001,1046000,0
47001,1047000,0
48001,1048000,0
49001,1049000,0
50001,1050000,0
51001,1051000,0
52001,1052000,0
53001,1053000,0
54001,1054000,0
55001,1055000,0
56001,1056000,0
57001,1057000,0
58001,1058000,0
59001,1059000,0
60001,1060000,0
61001,1061000,0
62001,1062000,0
63001,1063000,0
64001,1064000,0
65001,1065000,0
66001,1066000,0
67001,1067000,0
68001,1068000,0
69001,1069000,0
70001,1070000,0
71001,1071000,0
72001,1072000,0
73001,1073000,0
74001,1074000,0
75001,1075000,0
76001,1076000,0
77001,1077000,0
78001,1078000,0
79001,1079000,0
80001,1080000,0
81001,1081000,0
82001,1082000,0
83001,1083000,0
84001,1084000,0
85001,1085000,0
86001,1086000,0
87001,1087000,0
88001,1088000,0
89001,1089000,0
90001,1090000,0
91001,1091000,0
92001,1092000,0
93001,1093000,0
94001,1094000,0
95001,1095000,0
96001,1096000,0
97001,1097000,0
98001,1098000,0
99001,1099000,0
100001,1100000,0
101001,1101000,0
102001,1102000,0
103001,1103000,0
104001,1104000,0
105001,1105000,0
106001,1106000,0
107001,1107000,0
108001,1108000,0
109001,1109000,0
110001,1110000,0
111001,1111000,0
112001,1112000,0
113001,1113000,0
114001,1114000,0
115001,1115000,0
116001,1116000,0
117001,1117000,0
118001,1118000,0
119001,1119000,0
120001,1120000,0
121001,1121000,0
122001,1122000,0
123001,1123000,0
124001,1124000,0
125001,1125000,0
126001,1126000,0
127001,1127000,0
128001,1128000,0
129001,1129000,0
130001,1130000,0
131001,1131000,0
132001,1132000,0
133001,1133000,0
134001,1134000,0
135001,1135000,0
136001,1136000,0
137001,1137000,0
138001,1138000,0
139001,1139000,0
140001,1140000,0
141001,1141000,0
142001,1142000,0
143001,1143000,0
144001,1144000,0
145001,1145000,0
146001,1146000,0
147001,1147000,0
148001,1148000,0
149001,1149000,0
150001,1150000,0
151001,1151000,0
152001,1152000,0
153001,1153000,0
154001,1154000,0
155001,1155000,0
156001,1156000,0
157001,1157000,0
158001,1158000,0
159001,1159000,0
160001,1160000,0
161001,1161000,0
162001,1162000,0
163001,1163000,0
164001,1164000,0
165001,1165000,0
166001,1166000,0
167001,1167000,0
168001,1168000,0
169001,1169000,0
170001,1170000,0
171001,1171000,0
172001,1172000,0
173001,1173000,0
174001,1174000,0
175001,1175000,0
176001,1176000,0
177001,1177000,0
178001,1178000,0
179001,1179000,0
180001,1180000,0
181001,1181000,0
182001,1182000,0
183001,1183000,0
184001,1184000,0
185001,1185000,0
186001,1186000,0
187001,1187000,0
188001,1188000,0
189001,1189000,0
190001,1190000,0
191001,1191000,0
