window_start,window_end,variant_density
1,1000000,95
1001,1001000,95
2001,1002000,95
3001,1003000,95
4001,1004000,95
5001,1005000,96
6001,1006000,96
7001,1007000,96
8001,1008000,97
9001,1009000,97
10001,1010000,97
11001,1011000,97
12001,1012000,97
13001,1013000,97
14001,1014000,98
15001,1015000,98
16001,1016000,98
17001,1017000,98
18001,1018000,98
19001,1019000,98
20001,1020000,98
21001,1021000,98
22001,1022000,98
23001,1023000,98
24001,1024000,98
25001,1025000,98
26001,1026000,98
27001,1027000,98
28001,1028000,98
29001,1029000,98
30001,1030000,100
31001,1031000,100
32001,1032000,100
33001,1033000,101
34001,1034000,101
35001,1035000,102
36001,1036000,102
37001,1037000,104
38001,1038000,104
39001,1039000,104
40001,1040000,104
41001,1041000,104
42001,1042000,104
43001,1043000,104
44001,1044000,104
45001,1045000,104
46001,1046000,104
47001,1047000,104
48001,1048000,104
49001,1049000,104
50001,1050000,104
51001,1051000,106
52001,1052000,106
53001,1053000,106
54001,1054000,106
55001,1055000,106
56001,1056000,106
57001,1057000,106
58001,1058000,106
59001,1059000,106
60001,1060000,106
61001,1061000,106
62001,1062000,105
63001,1063000,105
64001,1064000,105
65001,1065000,105
66001,1066000,105
67001,1067000,104
68001,1068000,104
69001,1069000,104
70001,1070000,103
71001,1071000,103
72001,1072000,103
73001,1073000,103
74001,1074000,103
75001,1075000,103
76001,1076000,103
77001,1077000,103
78001,1078000,103
79001,1079000,104
80001,1080000,104
81001,1081000,104
82001,1082000,103
83001,1083000,103
84001,1084000,103
85001,1085000,103
86001,1086000,103
87001,1087000,103
88001,1088000,103
89001,1089000,103
90001,1090000,103
91001,1091000,101
92001,1092000,101
93001,1093000,101
94001,1094000,100
95001,1095000,100
96001,1096000,100
97001,1097000,100
98001,1098000,100
99001,1099000,100
100001,1100000,100
101001,1101000,100
102001,1102000,100
103001,1103000,100
104001,1104000,100
105001,1105000,100
106001,1106000,100
107001,1107000,101
108001,1108000,101
109001,1109000,101
110001,1110000,101
111001,1111000,102
112001,1112000,102
113001,1113000,102
114001,1114000,102
115001,1115000,102
116001,1116000,103
117001,1117000,103
118001,1118000,103
119001,1119000,103
120001,1120000,103
121001,1121000,102
122001,1122000,102
123001,1123000,102
124001,1124000,102
125001,1125000,102
126001,1126000,102
127001,1127000,101
128001,1128000,101
129001,1129000,101
130001,1130000,101
131001,1131000,101
132001,1132000,101
133001,1133000,103
134001,1134000,102
135001,1135000,102
136001,1136000,102
137001,1137000,102
138001,1138000,102
139001,1139000,103
140001,1140000,103
141001,1141000,103
142001,1142000,103
143001,1143000,103
144001,1144000,103
145001,1145000,103
146001,1146000,103
147001,1147000,103
148001,1148000,103
149001,1149000,102
150001,1150000,101
151001,1151000,101
152001,1152000,101
153001,1153000,101
154001,1154000,101
155001,1155000,101
156001,1156000,101
157001,1157000,97
158001,1158000,97
159001,1159000,97
160001,1160000,97
161001,1161000,97
162001,1162000,97
163001,1163000,97
164001,1164000,97
165001,1165000,97
166001,1166000,97
