window_start,window_end,variant_density
1,50000,0
1001,51000,0
2001,52000,0
3001,53000,0
4001,54000,0
5001,55000,0
6001,56000,0
7001,57000,0
8001,58000,0
9001,59000,0
10001,60000,0
11001,61000,1
12001,62000,3
13001,63000,3
14001,64000,3
15001,65000,4
16001,66000,6
17001,67000,6
18001,68000,6
19001,69000,6
20001,70000,6
21001,71000,6
22001,72000,6
23001,73000,6
24001,74000,7
25001,75000,7
26001,76000,7
27001,77000,7
28001,78000,7
29001,79000,7
30001,80000,7
31001,81000,7
32001,82000,7
33001,83000,7
34001,84000,7
35001,85000,7
36001,86000,7
37001,87000,8
38001,88000,8
39001,89000,8
40001,90000,8
41001,91000,8
42001,92000,8
43001,93000,8
44001,94000,8
45001,95000,8
46001,96000,8
47001,97000,8
48001,98000,8
49001,99000,8
50001,100000,8
51001,101000,8
52001,102000,8
53001,103000,8
54001,104000,8
55001,105000,8
56001,106000,8
57001,107000,8
58001,108000,8
59001,109000,8
60001,110000,8
61001,111000,7
62001,112000,5
63001,113000,5
64001,114000,5
65001,115000,4
66001,116000,2
67001,117000,2
68001,118000,2
69001,119000,2
70001,120000,2
71001,121000,2
72001,122000,2
73001,123000,2
74001,124000,1
75001,125000,1
76001,126000,1
77001,127000,1
78001,128000,1
79001,129000,1
80001,130000,1
81001,131000,1
82001,132000,1
83001,133000,1
84001,134000,1
85001,135000,1
86001,136000,1
87001,137000,0
88001,138000,0
89001,139000,0
90001,140000,0
91001,141000,0
92001,142000,0
93001,143000,0
94001,144000,0
95001,145000,0
96001,146000,0
97001,147000,0
98001,148000,0
99001,149000,0
100001,150000,0
101001,151000,1
102001,152000,1
103001,153000,1
104001,154000,1
105001,155000,1
106001,156000,2
107001,157000,2
108001,158000,6
109001,159000,7
110001,160000,8
111001,161000,9
112001,162000,9
113001,163000,9
114001,164000,11
115001,165000,11
116001,166000,11
117001,167000,11
118001,168000,11
119001,169000,11
120001,170000,11
121001,171000,11
122001,172000,11
123001,173000,11
124001,174000,11
125001,175000,11
126001,176000,12
127001,177000,13
128001,178000,13
129001,179000,13
130001,180000,13
131001,181000,13
132001,182000,13
